,정류소번호,정류소명,X좌표,Y좌표,자치구
157,01501,삼청공원,126.98164689459999,37.5882276807,종로구
158,01502,수성동계곡,126.964246771,37.5820791626,종로구
159,01503,명륜3가종점,126.99286367959999,37.5909483783,종로구
160,01504,명륜새마을금고,126.99670489100001,37.5876532654,종로구
161,01505,서대문3번출구,126.9662183105,37.5664160731,종로구
162,01506,낙산공원,127.0087215681,37.5804037213,종로구
163,01507,인사미술공간.세탁소,126.9893670844,37.5814109836,종로구
164,01508,평화동물병원,126.96488374540002,37.6048011982,종로구
165,01509,금융연수원,126.9815691643,37.5865984991,종로구
166,01510,박노수미술관,126.966603478,37.5809967425,종로구
167,01511,샘미용실,126.9932227051,37.5903095275,종로구
168,01512,서울국제고등학교,126.9972902593,37.589071594699995,종로구
169,01513,평화동물병원,126.96520078969999,37.6049806084,종로구
170,01514,적십자병원후문앞,126.96522727690001,37.5675295356,종로구
171,01515,서울성곽.성대후문,126.98963207370001,37.5892576959,종로구
172,01516,빨래터.고희동미술관,126.9889727997,37.5831008302,종로구
173,01517,세검초등학교,126.9614907597,37.604252279200004,종로구
174,01518,삼청동주민센터,126.98190716190001,37.5842638281,종로구
175,01519,통인시장,126.96875043040001,37.5804530718,종로구
176,01520,양현관,126.99360436149999,37.5897914226,종로구
177,01521,국민생활관,126.9988619666,37.5897456349,종로구
178,01522,오거리,126.9622629001,37.6070621164,종로구
179,01523,경희궁자이2.3단지,126.9640686009,37.5687871134,종로구
180,01524,창신쌍용2단지.한성대후문,127.0127581151,37.5812647965,종로구
181,01525,통일부,126.9859476734,37.5875948053,종로구
182,01526,원서고개,126.9878088426,37.583080553,종로구
183,01528,종로5가입구.혜화경찰서,126.99754108100001,37.571747236,종로구
184,01529,삼청파출소,126.9812510491,37.581813661999995,종로구
185,01530,오거리.한옥마을입구,126.9695411172,37.5794963204,종로구
186,01531,명륜시장.성대후문,126.9952543092,37.5885110529,종로구
187,01532,혜화초등학교,126.99985166430001,37.5872532276,종로구
188,01533,청련사입구,126.9624312007,37.6079803769,종로구
189,01534,영천시장,126.96283518879999,37.5700050081,종로구
190,01535,명신초.삼선푸르지오.힐스테이트,127.014556281,37.582106206700004,종로구
191,01536,감사원,126.9852900569,37.586210651799995,종로구
192,01537,중앙중고,126.98696529899999,37.583092177,종로구
193,01538,인왕빌딩,126.9577443332,37.6079283311,종로구
194,01539,종로4가.종묘공원,126.99446243780001,37.570632806999996,종로구
195,01540,국립민속박물관,126.9795533717,37.5792551846,종로구
196,01541,광화문새마을금고,126.97114664909999,37.5793687689,종로구
197,01542,새마을금고,126.99651805100001,37.587737061300004,종로구
198,01543,혜화우체국,127.0006137149,37.586037656500004,종로구
199,01544,언덕앞,126.96379217149999,37.608953975300004,종로구
200,01545,경희궁자이4단지,126.9621148375,37.5707022242,종로구
201,01546,종로센트레빌후문.e편한세상보문아파트,127.0161855253,37.5817743934,종로구
202,01547,사우디대사관앞.경남빌라,126.9850311776,37.5841056738,종로구
203,01548,안국선원.삼거리,126.984994076,37.5827909789,종로구
204,01549,구기터널입구,126.9567768927,37.6082046142,종로구
205,01550,종로3가.1.3.5호선,126.99218066280001,37.5710729861,종로구
206,01551,경복궁,126.97933775610001,37.576950157,종로구
207,01552,경복궁역,126.97227646469999,37.5766774815,종로구
208,01553,소나무집,126.96411046600001,37.6112770717,종로구
209,01554,독립문역3번출구,126.9597453483,37.5728784775,종로구
210,01555,청룡사.보문파크뷰자이아파트,127.01700714,37.5800189539,종로구
211,01556,북촌한옥마을입구.정세권활동터,126.9849422317,37.5815997311,종로구
212,01557,종로1.2.3.4가동주민센터,126.99113142559999,37.574383712199996,종로구
213,01558,창덕궁,126.99062001530001,37.5760892484,종로구
214,01561,아름다운실버,126.965463701,37.6120100581,종로구
215,01562,독립문초등학교,126.9607207234,37.5738474794,종로구
216,01563,종로센트레빌아파트,127.01569269790001,37.580353440500005,종로구
217,01564,가회동주민센터,126.9848497239,37.5799390098,종로구
218,01565,문방구,126.9579797248,37.6062686142,종로구
219,01566,원남로터리,126.997511497,37.5762373738,종로구
220,01567,보현산신각,126.96577905209999,37.6134825236,종로구
221,01568,천사유치원,126.9618603707,37.5746480221,종로구
222,01569,쌍용아파트입구.창신역,127.01496357379999,37.580511226,종로구
223,01570,아름다운가게.정독도서관,126.9850220301,37.5788991733,종로구
224,01571,산정빌라,126.95749220020001,37.6051519935,종로구
225,01572,이화사거리,127.0020107348,37.5764698644,종로구
226,01573,혜원사,126.96768734620001,37.6143102577,종로구
227,01574,무악현대아파트후문,126.962001046,37.5763060751,종로구
228,01576,헌법재판소.안국역,126.9856755706,37.5775584314,종로구
229,01577,청구빌라,126.9569839726,37.6046102563,종로구
230,01578,서울대어린이병원응급실.갑상선센터,126.99950296620001,37.5781188768,종로구
231,01580,화인빌라,126.9685386165,37.6129345305,종로구
232,01581,넓은마당,126.9628880463,37.5752728058,종로구
233,01582,창신초등학교,127.0153885503,37.5769032044,종로구
234,01583,수운회관,126.98651721799999,37.5751598262,종로구
235,01584,상명대후문,126.9573354115,37.6040255786,종로구
236,01586,힐탑,126.9690205751,37.6116055569,종로구
237,01587,신학대학교총회본부,126.96344456690001,37.5739763092,종로구
238,01589,낙원상가,126.9872918609,37.5736776169,종로구
239,01590,완성빌라,126.9575011241,37.6034020863,종로구
240,01591,서울대병원장례식장,126.99743096479999,37.5805553988,종로구
241,01592,혜화역1번출구,127.00194072149999,37.5834542178,종로구
242,01593,파라과이대사관,126.9699479367,37.6124059606,종로구
243,01594,한국사회과학자료원,126.9641432573,37.573633207600004,종로구
244,01595,동묘역,127.01424538190001,37.5726943506,종로구
245,01596,금강제화,126.9874384317,37.5705445369,종로구
246,01597,경진빌라,126.95783036120001,37.6020037175,종로구
247,01598,성균관대학교앞,126.99936592649999,37.5833082555,종로구
248,01599,광화문한국통신,126.977317218,37.5719018726,종로구
249,01607,EN갤러리,126.9707007997,37.6134063548,종로구
250,01667,종로문화센터,126.9646261961,37.574647081100004,종로구
251,01682,동대문역.2번출구,127.01172180020001,37.5720494465,종로구
252,01683,종각역YMCA,126.9850714936,37.5703393522,종로구
253,01684,서교빌라,126.95715536549999,37.601989057,종로구
254,01685,경복궁역,126.9724733176,37.5770722054,종로구
255,01686,연건동,127.00074496469999,37.576125662399996,종로구
256,01697,성대입구,126.99885300700001,37.5832668015,종로구
257,01698,무애사,126.9718458037,37.613900428200004,종로구
258,01699,단군성전앞,126.96531751190001,37.5755600915,종로구
259,01702,동대문종합시장,127.00614000459998,37.571176058,종로구
260,01714,상명초등학교,126.95671541799999,37.6009238115,종로구
261,01720,법련사,126.97966505389999,37.5765879752,종로구
262,01721,광화문새마을금고,126.9710277184,37.5794930902,종로구
263,01722,성균관대학교,126.9972179386,37.5850311082,종로구
264,01723,제1놀이터,126.9741212409,37.6145722576,종로구
265,01724,활터앞,126.9653293849,37.5768126115,종로구
